japanese,english,tags
　　役員会,Board of Trustees,運営組織
　　総長選考会議,Presidential Selection Committee,運営組織
　　経営協議会,Administrative Council,運営組織
　　教育研究評議会,Education and Research Council,運営組織
　　部局長会議,Council of Deans and Directors,運営組織
　　事務協議会,Council for Administrative Staff,運営組織
　　学術研究機構会議,Research Council,運営組織
　　附属病院連携機構会議,Osaka University Hospital Council,運営組織
　　ハラスメント相談室,Counseling Office (Harassment Related Matters),運営組織
　　情報推進機構,Office for Information and Communications Technology Services,運営組織
　　キャンパスライフ支援センター,Support Center for Campus Life,運営組織
障害学生支援ユニット,Student Disability Services,運営組織
　　  学生生活支援ユニット,Student Counseling and Consultation Services,運営組織
　　　キャリア支援ユニット,Career Development Services,運営組織
ファシリティ・マネジメント室,Facility Management Office,運営組織
　　安全衛生管理部,Department of Safety and Hygiene,運営組織
　　環境・エネルギー管理部,Department of Environment and Energy Management,運営組織
　　法務室,Office of the General Counsel,運営組織
評価・情報分析室,Office for Institutional Research and Evaluation,運営組織
大阪大学アーカイブズ,Osaka University Archives,運営組織
　　男女共同参画推進オフィス,Gender Equality Promotion Office,運営組織
クリエイティブユニット,Creative Unit,運営組織
　　基金室,Office for Osaka University Funds,運営組織
大型教育研究プロジェクト支援室,Support Office for Large-Scale Education and Research Projects,運営組織
キャンパスデザイン室,Campus Design Laboratory,運営組織
ハウジングオフィス,Housing Office,運営組織
　附属図書館,University Libraries,教育研究組織等
総合図書館,Main Library,教育研究組織等
　　生命科学図書館,Life Sciences Library,教育研究組織等
　　理工学図書館,Science and Engineering Library,教育研究組織等
　　外国学図書館,International Studies Library,教育研究組織等
　学部,Schools/Faculty,教育研究組織等
　　文学部,School of Letters,教育研究組織等
　　人間科学部,School of Human Sciences,教育研究組織等
　　外国語学部,School of Foreign Studies,教育研究組織等
　　法学部,School of Law,教育研究組織等
　　経済学部,School of Economics,教育研究組織等
　　理学部,School of Science,教育研究組織等
　　医学部,Faculty of Medicine,教育研究組織等
　　歯学部,School of Dentistry,教育研究組織等
　　薬学部,School of Pharmaceutical Sciences,教育研究組織等
　　工学部,School of Engineering,教育研究組織等
　　基礎工学部,School of Engineering Science,教育研究組織等
　大学院,Graduate Schools,教育研究組織等
　　大学院文学研究科,Graduate School of Letters,教育研究組織等
　　大学院人間科学研究科,Graduate School of Human Sciences,教育研究組織等
　　大学院法学研究科,Graduate School of Law and Politics,教育研究組織等
　　大学院経済学研究科,Graduate School of Economics,教育研究組織等
　　大学院理学研究科,Graduate School of Science,教育研究組織等
　　大学院医学系研究科,Graduate School of Medicine,教育研究組織等
　　大学院歯学研究科,Graduate School of Dentistry,教育研究組織等
　　大学院薬学研究科,Graduate School of Pharmaceutical Sciences,教育研究組織等
　　大学院工学研究科,Graduate School of Engineering,教育研究組織等
　　大学院基礎工学研究科,Graduate School of Engineering Science,教育研究組織等
　　大学院言語文化研究科,Graduate School of Language and Culture,教育研究組織等
　　大学院国際公共政策研究科,Osaka School of International Public Policy,教育研究組織等
　　大学院情報科学研究科,Graduate School of Information Science and Technology,教育研究組織等
　　大学院生命機能研究科,Graduate School of Frontier Biosciences,教育研究組織等
大学院高等司法研究科,Osaka University Law School,教育研究組織等
大阪大学・金沢大学・浜松医科大学・千葉大学・福井大学 小児発達学研究科,"United Graduate School of Child Development, Osaka University, Kanazawa University, Hamamatsu University School of Medicine, Chiba University and University of Fukui",教育研究組織等
　附置研究所,Research Institutes,教育研究組織等
　　微生物病研究所,Research Institute for Microbial Diseases,教育研究組織等
　　産業科学研究所,The Institute of Scientific and Industrial Research,教育研究組織等
　　蛋白質研究所,Institute for Protein Research,教育研究組織等
　　社会経済研究所,Institute of Social and Economic Research,教育研究組織等
　　接合科学研究所,Joining and Welding Research Institute,教育研究組織等
　学内共同教育研究施設,Joint-Use Facilities,教育研究組織等
　　コミュニケーションデザイン･センター,Center for the Study of Communication-Design,教育研究組織等
　　グローバルコラボレーションセンター,Global Collaboration Center,教育研究組織等
　　低温センター,Low Temperature Center,教育研究組織等
　　超高圧電子顕微鏡センター,Research Center for Ultra-High Voltage Electron Microscopy,教育研究組織等
　　ラジオアイソトープ総合センター,Radioisotope Research Center,教育研究組織等
　　環境安全研究管理センター,Research Center for Environmental Preservation,教育研究組織等
国際教育交流センター,Center for International Education and Exchange,教育研究組織等
　　生物工学国際交流センター,International Center for Biotechnology,教育研究組織等
　　極限量子科学研究センター,Center for Quantum Science and Technology under Extreme Conditions,教育研究組織等
　　太陽エネルギー化学研究センター,Research Center for Solar Energy Chemistry,教育研究組織等
　　総合学術博物館,The Museum of Osaka University,教育研究組織等
　　保健センター,Health Care Center,教育研究組織等
臨床医工学融合研究教育センター,The Center for Advanced Medical Engineering and Informatics,教育研究組織等
　　金融・保険教育研究センター,Center for the Study of Finance and Insurance,教育研究組織等
　　科学教育機器リノベーションセンター,Renovation Center of Instruments for Science Education and Technology,教育研究組織等
　　日本語日本文化教育センター,Center for Japanese Language and Culture,教育研究組織等
　　環境イノベーションデザインセンター,Center for Environmental Innovation Design for Sustainability,教育研究組織等
ナノサイエンスデザイン教育研究センター,Institute for NanoScience Design,教育研究組織等
　　知的財産センター,Intellectual Property Center,教育研究組織等
　全国共同利用施設,National Joint-Use Facilities,教育研究組織等
　　核物理研究センター,Research Center for Nuclear Physics,教育研究組織等
　　サイバーメディアセンター,Cybermedia Center,教育研究組織等
　　レーザーエネルギー学研究センター,Institute of Laser Engineering,教育研究組織等
世界トップレベル国際研究拠点形成促進プログラム,World Premier International Research Center (WPI) Initiative,教育研究組織等
